title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Future Home of the Living God,Louis Erdrich,,,,,,,,,,,,,,,,,,,,,,H,,,
FutureDyke,Lea Daley,,,,,,,,,,,,,,,,,,,,,H,,,,
G is for Ghosts,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Galactic North,Alastair Reynolds,,,,,,,,,,,,,,,,,,H,,,,,,,
Galilee,Clive Barker,,,,,,,,,,,,,,,,,,,,,H,,,,
Gallant,V.E. Schwab,,,,,,,,,,,,,X,,,,,,,,,,,,
Garden Spells,Sarah Addison Allen,,,,,,,,,,,,,,,,,,,,,,,,,X
Gardens of the Moon,Steven Erikson,,,,,,,,X,,,,,,,,,,,,,,,,,
"Gate of Ivory, Gate of Horn",Robert Holdstock,,,,,,,,,,,,,,,,,,,,,H,,,,
Gate of Ivrel,C.J. Cherryh,,,,,,,,,H,,,,,,,,,,,,,,,,
Gateway,Frederik Pohl,,,,,X,,,,,,,,,,,,,,,,,,,,
Gearbreakers,Zoe Hana Mikuta,,,,,,,,,,H,,,,,,,,,,,,,,,
Geek Love,Katherine Dunn,,,,,,,,,,,,,,,,,,,,,H,,,,
Gemina,Amie Kaufman and Jay Kristoff,,,,,,,,,,,,,,,,,H,,,,,,,,
Generation Warriors,Anne McCaffrey and Elizabeth Moon,,,X,,,,,,,,,,,,,,,,,,,,,,
Genetic Soldier,George Turner,,,,,,,,,,,,,,,,,,,,,H,,,,
Gentle Warriors,Geoff Mains,,,,,,,,,,,,,,,,,,,,,H,,,,
Georgina Kincaid,Richelle Mead,,,,,,,,,,,,,,X,,,,,,,,,,,
Ghost Country,Sara Paretsky,,,,,,,,,,,,,,,,,,,,,H,,,,
Ghost Road Blues,Jonathan Maberry,,,,,,,,,,,,,,,,,,,,,H,,,,
Ghost Talkers,Mary Robinette Kowal,,,,X,,,,X,,,,,,,,,,,H,,H,,,,
Giant Bones,Peter S. Beagle,,,,,,,,,,,,,,,,,,,,,H,,,,
Gideon the Ninth,Tamsyn Muir,,,,,,,,X,,,,,,,,,,,,,,,,,
Gingerbread,Helen Oyeyemi,,,,,,,,,,,,,,,,,,,,,,,,,X
Girl Meets Boy,Ali Smith,,,,,,,,,,,,,,,,,,,,,H,,,,
"Girl, Serpent, Thorn",Melissa Bashardoust,,,,,,,,,,H,,,,,,,,,,,,X,,H,
Girls Made of Snow and Glass,Melissa Bashardoust,H,,,,,,,,,,,,,,,,,,,,,,,,
Girls of Paper and Fire,Natasha Ngan,,,,,,,,,,X,,,,,,,,,H,,,,,,
Give Way to Night,Cass Morris,,,,H,,,,,,,,,,,,,,,,,,,,,
Glasshouse,Glasshouse,H,,,,,,,,,,,,,,,,,,,,,,,,
Glimpse,Jonathan Maberry,,,,,,,,,,,,,,,,,,,,,H,,,,
God of Gnomes,Demi Harper,,,,,,,,X,,,,,,,,,,,,,,,,,
God Stalk,P. C. Hodgell,,,,,,,,,,,,,,,,,,,,,H,,,,
Godblind trilogy,Anna Stephens,H,,,,,,,,,,,,,,,,,,,,,,,,
Godeena,Stejpan Cobets,,,,,,,,,,,,,,,,,,,,X,,,,,
Godmother Night,Rachel Pollack,,,,,,,,,,,,,,,,,,,,,H,,,,
Gods of Jade and Shadow,Silvia Moreno-Garcia,,,,H,,,,X,,,,,,,,,,,,,,,,,
Godshaper,Simon Spurrier,H,,,,,,,,,,,,,,,,,,,,,,,,
Going Postal,Terry Pratchett,,,,,,,,,,,,,,,,,,,,,,,,X,
Goliath,Tochi Onyebuchi,,,,,,,,,,H,,,,,,,,,,,,,,,
Good Omens,Terry Pratchett & Neil Gaiman,,,X,,,X,,X,,,,,,,,,,,,,,,,,
Good Omens (w/ Neil Gaiman),Terry Pratchett,,,,,,,,,,,,,,,,,,,,,H,,,,
Good Omens (w/ Terry Pratchett),Neil Gaiman,,,,,,,,,,,,,,,,,,,,,H,,,,
Gossamer Axe,Gael Baudino,H,,,,,,,,,,,,,,,,,,,,,,,,
Gotrex & Felix: Slayer,David Guymer,,,,,,,,,,,,,,,,,,,,,H,,,,
Graceling,Kristin Cashore,,,,,,,,X,,,,,,,,,,,,,,,,,
Graceling series,Kristin Cashore,,,,,,,,,,,,,,,,,,,,,,,,X,
Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,H,,,,,,,,,,,,,,,,,,,,,,,,
Gras,Sheri S Tepper,,H,,,,,,,,,,,,,,,,,,,,,,,
Grave of Empires,Sam Sykes,,,,,,,,,H,,,,,,,,,,,,,,,,
Grave Passions: Tales of the Gay Supernatural,William J. Mann,,,,,,,,,,,,,,,,,,,,,H,,,,
Green Bone Saga,Fonda Lee,H,,,,,,,,,,,,,,,,,,,,,,,,
Green Creek,T.J. Klune,H,,,,,,,,,,,,,,,,,,,,,,,,X
Green Phoenix,Thomas Burnett Swan,,,,,,,,,,,,,,,,,,,,,H,,,,
Grendel,John Gardener,,,,,,,,,,,,,,,,,,,,,H,,,,
Grief of Stones,Katherin Addison,,,,,,,,,,,,,X,,,,,,,,,,,,
"Grimm, Grit and Gasoline",Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Grounded: A Dragon's Tale,Gloria Piper,,,,,,,,,,,,,,,,,,,,X,,,,,
Guards! Guards!,Terry Pratchett,,,,,,,,,,,,,,,,,,,,,,,,X,
Guild of Tokens,Jon Auerbach,,,,,,,,,H,,,,,X,,,,,,,,,,,
Gumshoe Gorilla,Keith Hartman,,,,,,,,,,,,,,,,,,,,,H,,,,
"Gun, With Occasional Music",Jonathan Lethem,,,,,,,,,,,,,,,,,,,,,,,,H,
Gunmetal Gods,Zamil Akhtar,,,,,,,X,,,,,,,,,,,,,,,,,,
Gunpowder Alchemy,Jeannie Lin,,,,,,,,,,,,,,,,,,,,X,,,,,
Guns of the Dawn,Adrian Tchaikovsky,,,,,,X,,,,X,,,,,,,,,,,H,,,,
Ha'penny,Jo Walton,,,,,,,,,,,,,,,,,,,,,H,,,,
Hadriana in All My Dreams,René Depestre,,,,,,,,,,,,,,,,,,,,,,X,,,
Half a King,Joe Abercrombie,,,,,,,H,,,,,,,,,,,,,,H,,,,
Half A Soul,Olivia Atwater,,,,X,,,,X,,,,,,,,,,,,,,,,,
Half a War,Joe Abercrombie,,,,,,,,,,,,,,,,,,,,,H,,,,
Half Known Lives,Joan Givner,,,,,,,,,,,,,,,,,,,,,H,,,,
Half Sick of Shadows,Laura Sebastian,,,,,,,,,H,,,,,,,,,,,,,,,,
Halfway Human,Carolyn Ives Gilman,,,,,,,,,,,,,,,,,,,,,H,,,X,
Hand of Mars,Glynn Stewart,,,,,,,,,,X,,,,,,,,,,,,,,,
Hand of Prophecy,Severna Park,,,,,,,,,,,,,,,,,,,,,H,,,,
Hard Light,Elizabeth Hand,,,,,,,,,,,,,,,,,,,,,H,,,,
Harrow the Ninth,Tamsyn Muir,,,,,H,,,,,X,,,,,,,,,H,,,,,,
Harrowing the Dragon,Patricia McKillip,,,,,,,,,,,,,,,,,,H,,,,,,,
Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,,,,,,,,,,,,,,,,,X,,,,,,,,
Harry Potter and the Sorcerer's Stone,J. K. Rowling,,,,,,,,,,,H,,,,,,,,,,,,,,
Hawksong,Amelia Atwater Rhodes,,,,,,,,,,,,,,,,,,,,,,,H,,
"He, She and It",Marge Piercy,,,,,,,,,,,,,,,,,,,,,H,,,,
Headstone City,Tom Piccirilli,,,,,,,,,,,,,,,,,,,,,H,,,,
Hear Me Roar,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Heart of Stone,Johannes T. Evans,,,,,,,,X,,,,,,,,,,,,,,,,,
Heart-Shaped Box,Joe Hill,,,,,,,,,,,,,,,,,,,,,H,,,,
Heart's Blood,Juliet Marillier,,,,X,,,,,,,,,,,,,,,,,,,,,
Heartscale,Lola Ford,,,,,,,,,,,,,,,,,,,,X,,,,,
Heartstrikers,Rachel Aaron,,,,,,,,,,,,,,X,,,,,,,,,H,,
Heaven's Official Blessing,Mo Xiang Tong Xiu,,,,,,,,,,,,,,,,,,,,,,,,H,
Heavy Gilt,Dolores Klaich,,,,,,,,,,,,,,,,,,,,,H,,,,
Heir to Insanity,A.J. Nadir,,,,,,,,,,,,,,,,,,,,H,,,,H,
Heir to Sevenwaters,Juliet Marillier,,,,,,,,,,,,,,,,,,,,,H,,,,
Heiresses of Russ 2012: the Year’s Best Lesbian Speculative Fiction (editor w/ Connie Wilkins),Steve Berman,,,,,,,,,,,,,,,,,,,,,H,,,,
Heiresses of Russ 2012: the Year’s Best Lesbian Speculative Fiction (editor w/ Steve Berman),Connie Wilkins,,,,,,,,,,,,,,,,,,,,,H,,,,
Hell's Belle,Marie Castle,,,,,,,,,,,,,,,,,,,,,H,,,,
Hellequin,Steve McHugh,,,,,,,,,,,,,,X,,,,,,,,,,,
Hellspark,Janel Kagan,,H,,,,,,,,,,,,,,,,,,,,,,,
Helm,Stephen Gould,,,,,,H,,,,,,,,,,,,,,,,,,,
Help Fund My Robot Army,,,,,,,,,,,,,,,,,,,H,,,,,,,
Hench,Natalie Zina Walschots,,,,,,H,X,,,,,,,,,,,,,,,,,,
Her Body and Other Parties,Carmen Maria Machado,H,,,,,,,,,,,,,,,,,H,,,H,,,,
Her Magical Pet,Rachel Manija Brown,,,,,,,,X,,,,,,,,,,,,,,,,,
Her Pitiless Command,Benjanun Sriduangkaew,H,,,,,,,,,,,,,,,,,,,,,,,,
Her Smoke Rose Up Forever,James Tiptree Jr.,,,,,,,,,,,,,,,,,,H,,,,,,H,
Hero Forged,Josh Erikson,,,,,,,,X,,,,,,,,,,,,,,,,,
Heroic Hearts,Jim Butcher,,,,,,,,,,,,,,,,,,H,,,,,,,
Hexes,Tom Piccirilli,,,,,,,,,,,,,,,,,,,,,H,,,,
Hidden Legacy,Ilona Andrews,,,X,,,,,,X,,,,,X,,,,,,,,,,,X
Hidden Library,Genevieve Cogman,,,,,,,,,,,,,,,,,,,,,,,H,,
Hide Me Among the Graves,Tim Powers,,,,,,,,,,,,,,,,,,,,,H,,,,
Hideaway,Dean Koontz,,,,,,,,,,,,,,,,,,,,,H,,,,
High Deryni,Katherine Kurtz,,,,,,,,,,,,,,,,,,,,,H,,,,
Hild,Nicola Griffith,H,,,,,,,,,,,,,,,,,,,,,,,,
Himself,Jess Kidd,,,,,,H,,,,,,,,,,,,,,,,,,,
His Dark Materials,Phillip Pullman,,,,,,,,,H,,,,,,,,,,,,,,,,
His Majesty's Dragon,Naomi Novik,,,,,,,,,,,,,,,,X,,,,,,,,H,
His Secret Illuminations,Scarlett Gale,,,,,,,,,,,,,,,,,,,H,,,,,H,
Hogfather,Terry Pratchett,,,,,,,,,,,,,,,,,X,,,,,,,,
Hollow Folk,Hollow Folk,H,,,,,,,,,,,,,,,,,,,,,,,,
Hollow World,Michael J. Sullivan,,,,,,,,X,,,,,,,,,X,,,,,,,,
Homecoming,Matthew Costello,,,,,,,,,,,,,,,,,,,,,H,,,,
Horns,Joe Hill,,,,,,,,,,,,,,,,,,,,,H,,,,
House of Suns,Alastair Reynolds,,,,,,X,,,,,,,,,,,,,,,,,,,
How Are the Mighty Fallen,Thomas Burnett Swan,,,,,,,,,,,,,,,,,,,,,H,,,,
How Long 'Til Black Future Month?,N.K. Jemisin,,,,,,,,,,,,,,,,,,,,,,,,H,
How to Defeat a Demon King in Ten Easy Steps,Andrew Rowe,,,,,,H,,,,,,,,,,,,,,,,,,,
How to Live Safely in a Science Fictional Universe,Charles Yu,,,,,,,,,,,,,,,,,X,,,,,,,,
Howl's Moving Castle,Dianna Wynne Jones,,,,,,,,X,,,X,,,,,,,,,,,,,H,
Hrolf Kraki's Saga,Poul Anderson,,,,,,,,,,,,,,,,,,,,,H,,,,
Hunger of the Gods,John Gwynne,,,,,,,,,,,,,X,,,,,,,,,,,,
Hunger Pangs: True Love Bites,Joy Demorra,,,,,,,,,,,,,,,,,,,H,,,,,,
Hunter's Oath,Michelle West,,,,,,,,,,,,,,,,,X,,,,,,,,
Hunting the Ghost Dancer,A. A. Attanasio,,,,,,,,,,,,,,,,,,,,,H,,,,
Hwarhath Stories: Transgressive Tales by Aliens,Eleanor Arnason,,,,,,,,,,,,,,,,,,,,,H,,,,
Hyperbole and a Half,Allie Brosh,,,,,,,,,,,,,,,,,,,H,,,,,,
Hyperion,Dan Simmons,,H,,,,,,,,H,,,,,,,H,,,,,,,,
I Am Legend,Richard Matheson,,,,,,,,,,,,,,,,,,,,,,,,H,
I Kill Monsters,Dennis Liggio,,,,,,,,X,,,,,,,,,,,,,,,,,
I Stole You,Kristen Ringman,,,,,,,,,,,,,,,,,,,,,H,,,,
I Wish I Was Like You,S. P. Miskowski,,,,,,,,,,,,,,,,,,,,,H,,,,
I'm Waiting for You and Other Stories,Kim Bo-Young,,,,,,,,,,,,,,,,,X,,,,,X,,,
Ice Massacre,Tiana Warner,H,,,,,,,,,,,,,,,,,,,,,,,,
If I Told You Once,Judy Budnitz,,,,,,,,,,,,,,,,,,,,,H,,,,
Ill Met by Moonlight,Sarah A. Hoyt,,,,,,,,,,,,,,,,,,,,,H,,,,
Illicit Passage,Alice Nunn,,,,,,,,,,,,,,,,,,,,,H,,,,
Illsion,Paula Volsky,,,,,,,,,,H,,,,,,,,,,,,,,,
Illuminae,Amie Kaufman and Jay Kristoff,,,X,,H,,,,,,,,,,,,,,,,,,,,
Illywhacker,Peter Carey,,,,,,,,,,,,,,,,,,,,,H,,,,
Imajica,Clive Barker,,,,,,H,,,,,,,,,,,,,,,,,,,
Imaro,Charles Saunders,,,,,,,,,,,,,,,H,,,,,,,X,,,
Immunity Index,Sue Burke,,,,,,H,,,,H,,,,,,,,,,,,,,,
Imposter Syndrome,Mishell Baker,,,,,,,,,,,,,,,,,,,,,H,,,,
In a Dark Dream,Charles L. Grant,,,,,,,,,,,,,,,,,,,,,H,,,,
In Great Waters,Kit Whitfield,,,,,,,,,,,,,,,,,,,,,H,,,,
In Other Lands,Sarah Rees Brennan,H,,,,,X,,,,,,,,,,,,,,,H,,,,
In The Blood,Lauren Wright Douglas,,,,,,,,,,,,,,,,,,,,,H,,,,
"In the Closet, Under the Bed",Lee Thomas,,,,,,,,,,,,,,,,,,,,,H,,,,
In the Forest of Forgetting,Theodora Goss,,,,,,,,,,,,,,,,,,,,,H,,,,
In the Forests of Serre,Patricia A. McKillip,,,,,,,,,,,,,,,,,,,,,H,,,,
In the Garden of Dead Cars,Sybil Claiborne,,,,,,,,,,,,,,,,,,,,,H,,,,
In the Mother's Land,Élisabeth Vonarburg,,,,,,,,,,,,,,,,,,,,,H,,,,
"In the Night Garden, Deathless",Catherynne M. Valente,,,,,,,,,,,,,,,,,,,,,H,,,,
In the Night Wood,Dale Bailey,,,,,,,,,,,,,,,,,,,,,H,,,,
In the Now,Kelly Sinclair,,,,,,,,,,,,,,,,,,,,,H,,,,
In The Vanishers' Palace,Aliette de Bodard,H,,,,,,,,,,,,,,,,,,,,H,,H,,
Inda,Sherwood Smith,H,,,,,,,,,,X,,,,,,,,,,,,,X,
Indio: A Novel,"Charlaine Harris , Christopher Golden, Jonathan Maberry, Kelley Armstrong, Kat Richardson, Seanan McGuire, Tim Lebbon , Cherie Priest, James A. Moore, and Mark Morris",,,H,,,,,,,,,,,,,,,,,,,,,,
Infected,Scott Sigler,,,,,,,,,,H,,,,,,,,,,,,,,,
Inheritance,Joe McKinney,,,,,,,,,,,,,,,,,,,,,H,,,,
Inheritance,NK Jemisin,H,,,,,,,,,,,,,,,,,,,,,,,,
Inkheart,Cornelia Funke,,,,,,,,,,,,,,,,,,,,,,,,X,
Inquisitors' Guild,Dave Dobson,,,,,,,,,,,,,,,,,,,,H,,,,,
Insomnia,Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
Inspection,Josh Malerman,,,,,,,,,,,,,,,,,,,,,H,,,,
Interference,Sue Burke,,H,,,,,,,,,,,,,,,,,,,,,,,
Interfictions: An Anthology of Interstitial Writing,Theodora Goss,,,,,,,,,,,,,,,,,,,,,H,,,,
Into the Drowning Deep,Mira Grant,H,,,,,X,,,,,,,,H,,,,,,,,,,,
Into the Wild,Erin Hunter,,,H,,,,,,,,,,,,,,,,,,,,,,
Inversions,Iain M. Banks,,,,,,,,,,,,,,,,,,,,,,,,X,
"Invisible Planets, edited",Ken Liu,,,,,,,,,,,,,,,,,,,,,,X,,,
Invisible Soft Return,Roberta Degnore,,,,,,,,,,,,,,,,,,,,,H,,,,
Irish Black,David Lennon,,,,,,,,,,,,,,,,,,,,,H,,,,
Iron Price,Bryco O'Connor and Luke Chmilenko,,,X,,,,,,,,,,,,,,,,,,,,,X,
Iron Widow,Xiran Jay Zhao,,,,,,,H,X,,H,,,,,,,,,,,,X,,,
Island in the Sea of Time,S.M. Stirling,,,,H,,,,,,,,,,,,,X,,,,,,,,
It,Stephen King,,,,,,X,,,,,,,,,,,,,,,H,,,,
Jack Glass,Adam Roberts,,,,,,,,,,,,,,,,,X,,,,H,,,,
Jack of Ravens: Kingdom of the Serpent,Mark Chadbourn,,,,,,,,,,,,,,,,,,,,,H,,,,
Jackaby,William Ritter,,,,,,,,,,,X,,,,,,,,,,,,,,
Jackpot,William Gibson,,,,,,,,,,,,,,,,,H,,,,,,,,
Jade City,Fonda Lee,,,,,,,,X,,,,,,H,,,,,,,,,,,H
Jade Fire Gold,June C.L. Tan,,,,,,,,,,,,,,,,,,,,,,,,H,
Jade Legacy,Fonda Lee,,,,,,,,,,,,,,,,,,,,,,,,,H
Jade Sky,Patrick Freivald,,,,,,,,,,,,,,,,,,,,,H,,,,
Jade War,Fonda Lee,,,,,,,,,,,,,,,,,,,,,,,,,H
Jaeth's Eye,K. S. Villoso,,,,,,,,X,,,,,,,,,,,,X,,,,,
Jagannath,Karin Tidbeck,,,,,,,,,,,,,,,,,,,,,H,,,,
Jane Yellowrock,Faith Hunter,,,,,,,,,,,,,,,,,,,,,,,H,,
"Jane, Unlimited",Kristin Cashore,H,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Jones: Alias,Brian Michael Bendis,,,,,,,,,,,,,,,,,,,H,,,,,,
Jhereg,Steven Brust,,,,,,,,X,,,,,,,,,,,,,,,,,
Johannes Cabal the Necromancer,Jonathan L. Howard,,,,,,,,,,,H,,,,,,,,,,,,,,
Johnny Gruesome,Gregory Lamberson,,,,,,,,,,,,,,,,,,,,,H,,,,
Jonathan Strange & Mr Norrell,Susanna Clarke,,,,X,,X,,,,,H,,,,,,,,,,,,,,
Jubal County Saga,Bob McGough,,,,,,,,,,,,,,X,,,,,,,,,,,
Judas Unchained,Peter F. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,X,
Jumping off the Planet,David Gerrold,,,,,,,,,,,,,,,,,,,,,H,,,,
Just One Damned Thing After Another,Jodi Taylor,,,,,,,,,,,,,,,,,X,,,,,,,,
Kaiju Preservation Society,John Scalzi,,,,,,H,,,,,,,,,,,,,,,,,,,
Kaikeyi,Vaishnavi Patel,,,,H,,H,,,,,X,,H,,,,,,,,,,,,
Kalpa Imperial,Angélica Gorodischer,,,,,,,,X,,,,,,,,,,,,,,,,,
Karen Memory,Elizabeth Bear,H,,,,,,,,,,H,,,,,,,,,,,,,,
Katalepsis,Hy,H,,,,,,,,,,,,,,,,,,,,,,,,
Kate Daniels,Ilona Andrews,,,X,,,,,,H,,,,,X,,,,,,,,,H,,
Kate Kane: Paranormal Investigator,Alexis Hall,,,,,,,,,,,,,,H,,,,,,,,,,,
Keepers,Gary A. Braunbeck,,,,,,,,,,,,,,,,,,,,,H,,,,
Kept From Cages,Phil Williams,,,,,,,,X,,,,,,,,,,,,,,,,,
Key West 2720 AD,William K. Eakins,,,,,,,,,,,,,,,,,,,,,H,,,,
Kindred,Octavia E. Butler,,,,H,,X,,X,,,,,,X,,,X,,,,,X,,X,H
King of Thorns,Mark Lawrence,,,,,,,,,,,,,,,,,,,,,H,,,,
King Rat,China Mieville,,,,,,H,,,,,,,,,,,,,,,,,,,
King's Dragon,Kate Elliott,,,,,,,,X,,,,,,,,,,,,,,,,,
Kings of Paradise,Richard Nell,,,,,,,,X,,,,,,,,,,,,,,,,,H
Kings of the Wyld,Nicholas Eames,H,,,,,X,,X,H,,,,,,,,,,,,,,,,X
Kingshold,D.P. Woolliscroft,,,,,,,,X,,H,,,,,,,,,,,,,,,
Kintu,Jennifer Nansubuga Makumbi,,,,,,,,,,,,,,,,,,,,,,,,,H
Kissing Booth Girl,A. C. Wise,,,,,,,,,,,,,,,,,,,,,H,,,,
Kissing the Beehive,Jonathan Carroll,,,,,,,,,,,,,,,,,,,,,H,,,,
Kissing the Witch: Old Tales in New Skins,Emma Donoghue,,,,,,,,,,,,,,,,,,,,,H,,,,
Klara and the Sun,Kazuo Ishiguro,,,,,,H,,,,,X,,,,,,,,,,,,,,
Kraken,China Mieville,,,,,,H,,,,,,,,,,,,,,,,,,,
Kundo Wakes Up,Saad Z. Hossain,,,,,,,,,,,,,,,,,,,,,,,,H,
Kushiel's Legacy,Jacqueline Carey,X,,,H,,,,,,,,,,,,,,,,,,,,,
Labyrinth Lost,Zoraida Cordova,,,,,,,,,,,,,,H,,,,,,,,,,,
Ladies Occult Society,Krista D. Ball,,,,,,,,,,,,,,,,,,,,,,,,,X
Lady of Light,Diana L. Paxson,,,,,,,,,,,,,,,,,,,,,H,,,,
Lady Vago's Malediction,A.K.M. Beach,,,X,,,,,X,,,,,,,,,,,,,,,,H,
Lagoon,Nnedi Okorafor,,,,,,,,,,,,,,,,,,,,,H,,,,
Lancelot,Giles Kristian,,,,,,,,,,,X,,,,,,,,,,,,,,
"Larkspur; or, A Necromancer's Romance",V. M. Jaskiernia,,,,,,,,X,,,,,,,,,,,,,,,,,
Last Argument of Kings,Joe Abercrombie,,,,,,,,,,,,,,,,,,,,,H,,,,
Last First Snow,Max Gladstone,,,,,,,,,,,,,,,,,,,,,,,,H,
Last Skies Afire,Guerric Haché,,,,,,,,,,,,,,,,,,,,H,,,,H,
Latchkey,Nicole Kornher-Stace,,,,,,,,,,,,,,,,,,,,,,,,X,
Laughter at the Academy,Seanan McGuire,,,,,,,,,,,,,,,,,,H,,,,,,,
Lavinia,Ursula K. Le Guin,,,,H,,X,,,,,X,,,,,,,,,,,,,,
Leaning Towards Infinity,Sue Woolfe,,,,,,,,,,,,,,,,,,,,,H,,,,
Legacy of Flame,Rebecca Bapaye,,,,,,,,X,,,,,,,,,,,,,,,,,
Legendborn,Tracy Deonn,,,,,,,,X,H,,,,,,,,,,,,,,,,
Legends & Lattes,Travis Baldree,,,,,,,,,,,,,H,,,X,,,,X,,,,,
Legion,Brandon Sanderson,,,,,,,,,,,,,,,,,,,H,,,,,X,
Lent,Jo Walton,,,,,,,,,,,,,,,,,H,,,,H,,,,
Lessons In Murder,Claire McNab,,,,,,,,,,,,,,,,,,,,,H,,,,
Let the Right One In,John Ajvide Lindqvist,,,,,,X,,,,,,,,,,,,,,,H,,,,
Letters from a Shipwreck in the Sea of Suns and Moons,Raymond St. Elmo,,,,,,,,,,,,,,,,,,,,H,,,,,
Letters from the Well in the Season of the Ghosts,Raymond St. Elmo,,,,,,,,,,,,,,,,,,,,H,,,,,
Leviathan,Scott Westerfeld,,,,X,,,,,,,,,,,,,,,,,,,,,
Lexicon,Max Barry,,,,,,X,,,,,,,,,,,,,,,,,,,
Liaden Universe,Sharon Lee and Steve Miller,,,X,,,,,,,,,,,,,,,,,,,,,,
Libriomancer,Jim C. Hines,,,,,,,,,,,,,,X,,,,,,,,,,,
Licanius Trilogy,James Islington,,,,,,,,,,,,,,,,,X,,,,,,,,
Life,Gwyneth Jones,,,,,,,,,,,,,,,,,,,,,H,,,,
Life After Life,Kate Atkinson,,,,,,,,,,,,,,,,,X,,,,,,,,
Lifelode,Jo Walton,,,,,,,,,,,,,,,,,H,,,,,,,,
Light,Nathan Burgoine,,,,,,,,,,,,,,,,,,,,,H,,,,
Light From Uncommon Stars,Ryka Aoki,,,,,,H,,,,,,,,,,,,,,,,,,H,
Lightfinder,Aaron Paquette,,,,,,,,,,,,,,,,,,,,,,H,,,
Lightless,C.A. Higgens,,,,,X,,,,,,,,,,,,,,,,,,,X,
Like Light for Flies,Lee Thomas,,,,,,,,,,,,,,,,,,,,,H,,,,
Like Water for Chocolate,Laura Esquivel,,,,,,,,,,,,,,,,,,,,,,X,,,
Lily,Michael Thomas Ford,,,,,,,,,,,,,,,,,,,,,H,,,,
Lincoln's Dreams,Connie Willis,,,,,,,,,,,,,,,,,,,,,H,,,,
Lion of Ireland,Morgan Llywelyn,,,,,,,,,,,,,,,,,,,,,H,,,,
Lion's Blood,Steven Barnes,,,,,,,,,,,,,,,H,,,,,,,,,,
Lirael,Garth Nix,,,,,,,,X,,,,,,,,,,,,,,,,,
Listening at the Gate,Betsy James,,,,,,,,,,,,,,,,,,,,,H,,,,
LitenVerse,Nino Cipri,,H,,,,,,,,,,,,,,,,,,,,,,,
Little Black Book of Stories,A. S. Byatt,,,,,,,,,,,,,,,,,,,,,H,,,,
Little Brother,Cory Doctorow,,,,,,,,,,,,,,,,,,,,,,,,X,
Little Sisters of the Apocalypse,Kit Reed,,,,,,,,,,,,,,,,,,,,,H,,,,
"Little, Big",John Crowley,,,,,,H,,,,,,,,,,,,,,,,,,,
Live Girls,Ray Garton,,,,,,,,,,,,,,,,,,,,,H,,,,
Liveship Traders,Robin Hobb,,,,,,,,,,,,,,,,,,,,,,,,,H
Livi Talbot,Skyla Dawn Cameron,,,,,,,,,,,,,,,,,,,,,,,,,X
Living with Ghosts,Kari Sperring,,,,,,,,,,,,,,,,,,,,,H,,,,
Locke & Key (w/ Gabriel Rodriguez),Joe Hill,,,,,,,,,,,,,,,,,,,,,H,,,,
Loki,Mike Vasic,,,,,,,,,,,X,,,,,,,,,,,,,,
Look to Windward,Iain M. Banks,,,,,H,,,,,,,,,,,,,,,,,,,,
Lord of Light,Roger Zelazny,,,,,,X,,,,,,,,,,,,,,,,,,,
Lord of the Two Lands,Judith Tarr,,,,,,,,,,,,,,,,,,,,,H,,,,
Lord of the White Hell,Ginn Hale,H,,,,,,,,,,,,,,,,,,,,,,,,
Lore,Alexandra Bracken,,,,,,,,,,,X,,,,,,,,,,,,,,
Los Nefilim,T. Frohock,H,,,,,,,,,,,,,,,,,,,,,,,,
"Lost Boy, Lost Girl",Peter Straub,,,,,,,,,,,,,,,,,,,,,H,,,,
Lost Futures,Lisa Tuttle,,,,,,,,,,,,,,,,,,,,,H,,,,
Lost Lore: A Fantasy Anthology,,,,,,,,,,,,,,,,,,,H,,,,,,,
Lost Souls,Poppy Z. Brite,,,,,,,,,,,,,,,,,,,,,H,,,,
Love & Sleep,John Crowley,,,,,,,,,,,,,,,,,,,,,H,,,,
Love After the End: An Anthology of Two-Spirit and Indigiqueer Speculative Fiction,Joshua Whitehead,,,,,,,,,,,,,,,,,,,,,,H,,,
"Love: Beyond Body, Space & Time","Hope Nicholson, ed.",,,,,,,,,,,,,,,,,,,,,,H,,,
"Love's Body, Dancing in Time",L. Timmel Duchamp,,,,,,,,,,,,,,,,,,,,,H,,,,
Lovecraft Country,Matt Ruff,,,,,,,,,,,,,,,,,,,,,H,,,,
Low Men in Yellow Coats,Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
Low Town,Daniel Polansky,,,,,,,,X,,,,,,,,,,,,,,,,,
LT Leary/RCN,David Drake,H,,,,,,,,,,,,,,,,,,,,,,,,
Lud-in-the-Mist,Hope Mirrlees,,,,,,,,X,,,,,,,,,,,,,,,,,
Lullaby,Chuck Palahniuk,,,,,,,,,,,,,,,,,,,,,H,,,,
Luna: New Moon,Ian McDonald,H,,,,,,,,,,,,,,,,,,,,,,,,
