title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Ancillary Sword,Ann Leckie,,,,,H,,,,,,,,,,,,,,,,,,,,
And I Darken,Kiersten White,,,,,,,H,,,,,,,,,,,,,,,,,,
Angel Lust,Perry Brass,,,,,,,,,,,,,,,,,,,,,H,,,,
Angels in America,Tony Kushner,H,,,,,,,,,,,,,,,,,,,,,,,,
Angels' Blood,Nalini Singh,,,,,,,,X,,,,,,,,,,,,,,,,,
Animorphs,K.A. Applegate,,,,,,,,,,,,,,,,,,,,,,,H,,
Anita Blake,Laurell K. Hamilton,,,,,,,,,,,,,,X,,,,,,,,,X,,
Annihilation,Jeff VanderMeer,,X,,,,,,,,,,,,,,,,,,,,,,,
Anno Dracula,Kim Newman,,,,X,,,,,,,,,,,,,,,,,H,,,,
Antisocieties,Michael Cisco,,,,,,,,,,,,,,,,,,H,,,,,,,
Apocalypse of the Dead,Joe McKinney,,,,,,,,,,,,,,,,,,,,,H,,,,
Appleseed,John Clute,,,,,,,,,,,,,,,,,,,,,H,,,,
Arcana,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Arcane Ascension,Andrew Rowe,X,,,,,,,,,,,,,,,,,,,,,,,,
Arcanum Unbounded,Brandon Sanderson,,,,,,,,,,,,,,,,,,H,,,,,,X,
Archer's Goon,Diana Wynne Jones,,,,,,H,,X,,,X,,,,,,,,,,H,,,,
Archivist Wasp,Nicole Kornher-Stace,,,,,,,,,,,,,,,,,,,,,,,,X,
Area X: The Southern Reach Trilogy,Jeff VanderMeer,,,,,,,,,,,,,,,,,,,,,H,,,,
Ariadne,Jennifer Saint,,,,,,,,,,,X,,,,,,,,,,,,,,
Ariosto,Chelsea Quinn Yarbro,,,,,,,,,,,,,,,,,,,,,H,,,,
Army of the Cursed,Karim Soliman,,,,,,,,X,,,,,,,,,,,,,,,,,
Artemis,Andy Weir,,,,,X,,,,,,,,,,,,,,,,,,,,
Artemis Fowl,Eoin Colfer,,,,,,,H,,,,H,,,,,,,,,,,,,,
Artifact Space,Miles Cameron,,,,,H,,,,,,,,,,,,,,,,,,,,
Aru Shah and the End of Time,Roshani Chokshi,,,,,,,,,,,H,,,,,,,,,,,,,,
As I Was On My Way to Strawberry Fair,Raymond St. Elmo,,,,,,,,,,,,,,,,,,,,H,,,,H,
Ascension,Jacqueline Koyanagi,,,,,,,,,,,,,,,,,,,,,H,,,X,
Ash,Malinda Lo,H,,,,,,,,,,X,,,,,,,,,,,,,,
Ash Wednesday,Chet Williamson,,,,,,,,,,,,,,,,,,,,,H,,,,
Ash: A Secret History,Mary Gentle,H,,,,,,,,,,X,,,,,,H,,,,H,,,,
Ashes of the Sun,Django Wexler,,,,,,,,,X,X,,,,,,,,,,,,,,,X
Askaro of the Falcon,Lady Li Andre,,,,,,,,,,,,,,,,,,,,X,,,,,
Assassin's Apprentice,Robin Hobb,,,,,,,,X,,,,,,,,,,,,,,,,,
Atlantis: Three Tales,Samuel R. Delany,,,,,,,,,,,,,,,,,,,,,H,,,,
Attack Surface,Cory Doctorow,,,,,,,,,,,,,,,,,,,,,,,,X,
Aurora,Kim Stanley Robinson,,,,,X,,,,,,,,,,,,,,,,,,,,
Aurorarama,Jean-Christophe Valtat,,,,,,,,,,,,,,,,,,,,,H,,,,
Autonomous,Annalee Newitz,,,,,,H,,,,,,,,,,,,,,,,,,,
Avaryan Rising,Judith Tarr,H,,,,,,,,,,,,,,,,,,,,,,,,
Avilion,Robert Holdstock,,,,,,,,,,,,,,,,,,,,,H,,,,
Awoken,Serra Elinsen,,,H,,,,,,,,,,,,,,,,,,,,,,
Balad of Songbirds and Snakes,Veronica Ross,,,,,,,H,,,,,,,,,,,,,,,,,,
"Balam, Spring",Travis M. Riddle,,,,,,,,X,,,,X,,,,,,,,X,,,,X,
Banner of the Damned,Sherwood Smith,H,,,,,,,,,,,,,,,,,,,,,,,,
Barque Cats,Anne McCaffrey and Elizabeth Ann Scarbarough,,,X,,,,,,,,,,,,,,,,,,,,,,
Bartimaeus,Jonathan Stroud,,,,,,,,,,,,,,X,,,,,,,,,,,
Bartimaeus Trilogy,Jonathan Stroud,,,,,,,,,,,,,,,,,,,,,,,H,,
Bastard Son,Douglas Clegg,,,,,,,,,,,,,,,,,,,,,H,,,,
Bastion,Phil Tucker,,,,,,,,,,,,,,,,,,,,,,,H,,
Battle Mage,Peter A. Flannery,,,,,,H,,,,,,,,,,,,,,,,,,,
Battle of the Linguist Mages,Scotto Moore,,,,,,,,,,,,,,H,,,,,,,,,,,
Beacon Road Bedlam,Ian Lewis,,,,,,,,,,,,,,,,,,,,,,,,,X
Beautiful You,Chuck Palahniuk,,,,,,,,,,,,,,,,,,,,,H,,,,
Beauty is a Wound,"Eka Kurniawan (CW for rape, torture, incest)",,,,,,,,,,,,,,,,,,,,,,X,,,
Beauty Queens,Libba Bray,,,,,,,,,,,,,,,,,,,,,H,,,,
Bedlam's Bard,Mercedes Lackey and Ellen Guon,,,X,,,,,,,,,,,,,,,,,,,,,,
Before They are Hanged,Joe Abercrombie,,,,,,,,,,,,,,,,,,,,,,,,H,
Bel Dame Apocrypha,Kameron Hurley,H,H,,,,,,,,,,,,,,,,,,,,,,,
Belle Revolte,Linsey Miller,,,,,,,,,,X,,,,,,,,,,,,,,,
Bending the Landscape: Horror,Nicola Griffith,,,,,,,,,,,,,,,,,,,,,H,,,,
